transDate,close,high,low,open,volume,event
05/03/2012,0.03,0.03,0.03,0.03,0,
06/03/2012,0.03,0.03,0.03,0.03,0,
07/03/2012,0.03,0.03,0.03,0.03,0,
08/03/2012,0.03,0.03,0.03,0.03,0,
09/03/2012,0.03,0.03,0.03,0.03,0,
12/03/2012,0.03,0.03,0.03,0.03,0,
13/03/2012,0.03,0.03,0.03,0.03,0,
14/03/2012,0.03,0.03,0.03,0.03,0,
15/03/2012,0.03,0.03,0.03,0.03,0,
16/03/2012,0.03,0.03,0.03,0.03,0,
19/03/2012,0.03,0.03,0.03,0.03,0,
20/03/2012,0.03,0.03,0.03,0.03,0,
21/03/2012,0.03,0.03,0.03,0.03,0,
22/03/2012,0.03,0.03,0.03,0.03,0,
23/03/2012,0.03,0.03,0.03,0.03,0,DIVIDEND
26/03/2012,0.03,0.03,0.03,0.03,0,
27/03/2012,0.03,0.03,0.03,0.03,0,
28/03/2012,0.03,0.03,0.03,0.03,0,
29/03/2012,0.03,0.03,0.03,0.03,0,
30/03/2012,0.03,0.03,0.03,0.03,0,
03/04/2012,0.03,0.03,0.03,0.03,0,
04/04/2012,0.03,0.03,0.03,0.03,0,
05/04/2012,0.03,0.03,0.03,0.03,0,
06/04/2012,0.03,0.03,0.03,0.03,0,
09/04/2012,0.03,0.03,0.03,0.03,0,
10/04/2012,0.03,0.03,0.03,0.03,0,
11/04/2012,0.03,0.03,0.03,0.03,0,
12/04/2012,0.03,0.03,0.03,0.03,0,
13/04/2012,0.03,0.03,0.03,0.03,0,
16/04/2012,0.043,0.043,0.043,0.043,300,
17/04/2012,0.043,0.043,0.043,0.043,0,
18/04/2012,0.043,0.043,0.043,0.043,0,
19/04/2012,0.043,0.043,0.043,0.043,0,
20/04/2012,0.043,0.043,0.043,0.043,0,
23/04/2012,0.043,0.043,0.043,0.043,0,
24/04/2012,0.043,0.043,0.043,0.043,0,
25/04/2012,0.043,0.043,0.043,0.043,0,
26/04/2012,0.043,0.043,0.043,0.043,0,
27/04/2012,0.043,0.043,0.043,0.043,0,
02/05/2012,0.043,0.043,0.043,0.043,0,
03/05/2012,0.043,0.043,0.043,0.043,0,
04/05/2012,0.043,0.043,0.043,0.043,0,
07/05/2012,0.043,0.043,0.043,0.043,0,
08/05/2012,0.043,0.043,0.043,0.043,0,
09/05/2012,0.043,0.043,0.043,0.043,0,
10/05/2012,0.043,0.043,0.043,0.043,0,
11/05/2012,0.043,0.043,0.043,0.043,0,
14/05/2012,0.043,0.043,0.043,0.043,0,
15/05/2012,0.043,0.043,0.043,0.043,0,
16/05/2012,0.043,0.043,0.043,0.043,0,
17/05/2012,0.043,0.043,0.043,0.043,0,
18/05/2012,0.043,0.043,0.043,0.043,0,
21/05/2012,0.043,0.043,0.043,0.043,0,
22/05/2012,0.043,0.043,0.043,0.043,0,
23/05/2012,0.043,0.043,0.043,0.043,0,
24/05/2012,0.043,0.043,0.043,0.043,0,
25/05/2012,0.043,0.043,0.043,0.043,0,
28/05/2012,0.059,0.059,0.059,0.059,100,
29/05/2012,0.059,0.059,0.059,0.059,0,
30/05/2012,0.059,0.059,0.059,0.059,0,
31/05/2012,0.059,0.059,0.059,0.059,0,
01/06/2012,0.059,0.059,0.059,0.059,0,
04/06/2012,0.059,0.059,0.059,0.059,0,
05/06/2012,0.059,0.059,0.059,0.059,0,
06/06/2012,0.059,0.059,0.059,0.059,0,DIVIDEND
07/06/2012,0.059,0.059,0.059,0.059,0,
08/06/2012,0.059,0.059,0.059,0.059,0,
11/06/2012,0.059,0.059,0.059,0.059,0,
12/06/2012,0.059,0.059,0.059,0.059,0,
13/06/2012,0.059,0.059,0.059,0.059,0,
14/06/2012,0.059,0.059,0.059,0.059,0,
15/06/2012,0.059,0.059,0.059,0.059,0,
18/06/2012,0.059,0.059,0.059,0.059,0,
19/06/2012,0.059,0.059,0.059,0.059,0,
20/06/2012,0.059,0.059,0.059,0.059,0,
21/06/2012,0.059,0.059,0.059,0.059,0,
22/06/2012,0.059,0.059,0.059,0.059,0,
25/06/2012,0.059,0.059,0.059,0.059,0,
26/06/2012,0.059,0.059,0.059,0.059,0,
27/06/2012,0.059,0.059,0.059,0.059,0,
28/06/2012,0.059,0.059,0.059,0.059,0,
29/06/2012,0.059,0.059,0.059,0.059,0,
02/07/2012,0.059,0.059,0.059,0.059,0,
03/07/2012,0.059,0.059,0.059,0.059,0,
04/07/2012,0.059,0.059,0.059,0.059,0,
05/07/2012,0.059,0.059,0.059,0.059,0,
06/07/2012,0.059,0.059,0.059,0.059,0,
09/07/2012,0.059,0.059,0.059,0.059,0,
10/07/2012,0.059,0.059,0.059,0.059,0,
11/07/2012,0.059,0.059,0.059,0.059,0,
12/07/2012,0.059,0.059,0.059,0.059,0,
13/07/2012,0.059,0.059,0.059,0.059,0,
16/07/2012,0.059,0.059,0.059,0.059,0,
17/07/2012,0.059,0.059,0.059,0.059,0,
18/07/2012,0.059,0.059,0.059,0.059,0,
19/07/2012,0.059,0.059,0.059,0.059,0,
20/07/2012,0.059,0.059,0.059,0.059,0,
23/07/2012,0.059,0.059,0.059,0.059,0,
24/07/2012,0.059,0.059,0.059,0.059,0,
25/07/2012,0.059,0.059,0.059,0.059,0,
26/07/2012,0.059,0.059,0.059,0.059,0,
27/07/2012,0.059,0.059,0.059,0.059,0,
30/07/2012,0.059,0.059,0.059,0.059,0,
31/07/2012,0.059,0.059,0.059,0.059,0,
01/08/2012,0.059,0.059,0.059,0.059,0,
02/08/2012,0.059,0.059,0.059,0.059,0,
03/08/2012,0.059,0.059,0.059,0.059,0,
06/08/2012,0.059,0.059,0.059,0.059,0,
07/08/2012,0.059,0.059,0.059,0.059,0,
08/08/2012,0.059,0.059,0.059,0.059,0,
09/08/2012,0.059,0.059,0.059,0.059,0,
10/08/2012,0.059,0.059,0.059,0.059,0,
13/08/2012,0.059,0.059,0.059,0.059,0,
14/08/2012,0.059,0.059,0.059,0.059,0,
15/08/2012,0.059,0.059,0.059,0.059,0,
16/08/2012,0.059,0.059,0.059,0.059,0,
17/08/2012,0.059,0.059,0.059,0.059,0,
20/08/2012,0.059,0.059,0.059,0.059,0,
21/08/2012,0.059,0.059,0.059,0.059,0,
22/08/2012,0.059,0.059,0.059,0.059,0,
23/08/2012,0.059,0.059,0.059,0.059,0,
24/08/2012,0.059,0.059,0.059,0.059,0,
27/08/2012,0.059,0.059,0.059,0.059,0,
28/08/2012,0.059,0.059,0.059,0.059,0,
29/08/2012,0.059,0.059,0.059,0.059,0,
30/08/2012,0.059,0.059,0.059,0.059,0,
31/08/2012,0.059,0.059,0.059,0.059,0,
04/09/2012,0.059,0.059,0.059,0.059,0,
05/09/2012,0.059,0.059,0.059,0.059,0,
06/09/2012,0.059,0.059,0.059,0.059,0,
07/09/2012,0.059,0.059,0.059,0.059,0,
10/09/2012,0.059,0.059,0.059,0.059,0,
11/09/2012,0.059,0.059,0.059,0.059,0,
12/09/2012,0.059,0.059,0.059,0.059,0,
13/09/2012,0.059,0.059,0.059,0.059,0,
14/09/2012,0.059,0.059,0.059,0.059,0,
17/09/2012,0.059,0.059,0.059,0.059,0,
18/09/2012,0.059,0.059,0.059,0.059,0,
19/09/2012,0.059,0.059,0.059,0.059,0,
20/09/2012,0.059,0.059,0.059,0.059,0,
21/09/2012,0.059,0.059,0.059,0.059,0,
24/09/2012,0.059,0.059,0.059,0.059,0,
25/09/2012,0.059,0.059,0.059,0.059,0,
26/09/2012,0.059,0.059,0.059,0.059,0,
27/09/2012,0.059,0.059,0.059,0.059,0,
28/09/2012,0.059,0.059,0.059,0.059,0,
01/10/2012,0.059,0.059,0.059,0.059,0,
02/10/2012,0.059,0.059,0.059,0.059,0,
03/10/2012,0.059,0.059,0.059,0.059,0,
04/10/2012,0.059,0.059,0.059,0.059,0,
05/10/2012,0.059,0.059,0.059,0.059,0,
08/10/2012,0.059,0.059,0.059,0.059,0,
09/10/2012,0.059,0.059,0.059,0.059,0,
10/10/2012,0.059,0.059,0.059,0.059,0,
11/10/2012,0.059,0.059,0.059,0.059,0,DIVIDEND
12/10/2012,0.059,0.059,0.059,0.059,0,
15/10/2012,0.059,0.059,0.059,0.059,0,
16/10/2012,0.059,0.059,0.059,0.059,0,
17/10/2012,0.059,0.059,0.059,0.059,0,
18/10/2012,0.059,0.059,0.059,0.059,0,
19/10/2012,0.059,0.059,0.059,0.059,0,
22/10/2012,0.059,0.059,0.059,0.059,0,
23/10/2012,0.059,0.059,0.059,0.059,0,
24/10/2012,0.059,0.059,0.059,0.059,0,
25/10/2012,0.059,0.059,0.059,0.059,0,
26/10/2012,0.059,0.059,0.059,0.059,0,
29/10/2012,0.059,0.059,0.059,0.059,0,
30/10/2012,0.059,0.059,0.059,0.059,0,
31/10/2012,0.059,0.059,0.059,0.059,0,
01/11/2012,0.059,0.059,0.059,0.059,0,
02/11/2012,0.059,0.059,0.059,0.059,0,
05/11/2012,0.059,0.059,0.059,0.059,0,
06/11/2012,0.059,0.059,0.059,0.059,0,
07/11/2012,0.059,0.059,0.059,0.059,0,
08/11/2012,0.059,0.059,0.059,0.059,0,
09/11/2012,0.059,0.059,0.059,0.059,0,
12/11/2012,0.059,0.059,0.059,0.059,0,
13/11/2012,0.059,0.059,0.059,0.059,0,
14/11/2012,0.059,0.059,0.059,0.059,0,
15/11/2012,0.059,0.059,0.059,0.059,0,
16/11/2012,0.059,0.059,0.059,0.059,0,
19/11/2012,0.059,0.059,0.059,0.059,0,
20/11/2012,0.059,0.059,0.059,0.059,0,
21/11/2012,0.059,0.059,0.059,0.059,0,
22/11/2012,0.059,0.059,0.059,0.059,0,
23/11/2012,0.059,0.059,0.059,0.059,0,
26/11/2012,0.059,0.059,0.059,0.059,0,
27/11/2012,0.059,0.059,0.059,0.059,0,
28/11/2012,0.059,0.059,0.059,0.059,0,
29/11/2012,0.059,0.059,0.059,0.059,0,
30/11/2012,0.059,0.059,0.059,0.059,0,
03/12/2012,0.059,0.059,0.059,0.059,0,
04/12/2012,0.059,0.059,0.059,0.059,0,
05/12/2012,0.059,0.059,0.059,0.059,0,
06/12/2012,0.059,0.059,0.059,0.059,0,
07/12/2012,0.059,0.059,0.059,0.059,0,
10/12/2012,0.059,0.059,0.059,0.059,0,
11/12/2012,0.059,0.059,0.059,0.059,0,
12/12/2012,0.059,0.059,0.059,0.059,0,
13/12/2012,0.059,0.059,0.059,0.059,0,
14/12/2012,0.059,0.059,0.059,0.059,0,
17/12/2012,0.059,0.059,0.059,0.059,0,
18/12/2012,0.059,0.059,0.059,0.059,0,
19/12/2012,0.059,0.059,0.059,0.059,0,
20/12/2012,0.059,0.059,0.059,0.059,0,
21/12/2012,0.059,0.059,0.059,0.059,0,
24/12/2012,0.059,0.059,0.059,0.059,0,
25/12/2012,0.059,0.059,0.059,0.059,0,
26/12/2012,0.059,0.059,0.059,0.059,0,
27/12/2012,0.059,0.059,0.059,0.059,0,
28/12/2012,0.059,0.059,0.059,0.059,0,
02/01/2013,0.059,0.059,0.059,0.059,0,
03/01/2013,0.059,0.059,0.059,0.059,0,
04/01/2013,0.059,0.059,0.059,0.059,0,
07/01/2013,0.059,0.059,0.059,0.059,0,
08/01/2013,0.059,0.059,0.059,0.059,0,
09/01/2013,0.059,0.059,0.059,0.059,0,
10/01/2013,0.059,0.059,0.059,0.059,0,
11/01/2013,0.059,0.059,0.059,0.059,0,
14/01/2013,0.059,0.059,0.059,0.059,0,
15/01/2013,0.059,0.059,0.059,0.059,0,
16/01/2013,0.059,0.059,0.059,0.059,0,
17/01/2013,0.059,0.059,0.059,0.059,0,
18/01/2013,0.059,0.059,0.059,0.059,0,
21/01/2013,0.059,0.059,0.059,0.059,0,
22/01/2013,0.059,0.059,0.059,0.059,0,
23/01/2013,0.059,0.059,0.059,0.059,0,
24/01/2013,0.059,0.059,0.059,0.059,0,
25/01/2013,0.059,0.059,0.059,0.059,0,
28/01/2013,0.059,0.059,0.059,0.059,0,
29/01/2013,0.059,0.059,0.059,0.059,0,
30/01/2013,0.059,0.059,0.059,0.059,0,
31/01/2013,0.059,0.059,0.059,0.059,0,
01/02/2013,0.059,0.059,0.059,0.059,0,
04/02/2013,0.059,0.059,0.059,0.059,0,
05/02/2013,0.059,0.059,0.059,0.059,0,
06/02/2013,0.059,0.059,0.059,0.059,0,
07/02/2013,0.059,0.059,0.059,0.059,0,
08/02/2013,0.059,0.059,0.059,0.059,0,
18/02/2013,0.059,0.059,0.059,0.059,0,
19/02/2013,0.059,0.059,0.059,0.059,0,
20/02/2013,0.059,0.059,0.059,0.059,0,
21/02/2013,0.059,0.059,0.059,0.059,0,
22/02/2013,0.059,0.059,0.059,0.059,0,
25/02/2013,0.059,0.059,0.059,0.059,0,
26/02/2013,0.059,0.059,0.059,0.059,0,
27/02/2013,0.059,0.059,0.059,0.059,0,
28/02/2013,0.059,0.059,0.059,0.059,0,
01/03/2013,0.059,0.059,0.059,0.059,0,
04/03/2013,0.059,0.059,0.059,0.059,0,
05/03/2013,0.059,0.059,0.059,0.059,0,
06/03/2013,0.059,0.059,0.059,0.059,0,
07/03/2013,0.059,0.059,0.059,0.059,0,
08/03/2013,0.059,0.059,0.059,0.059,0,
11/03/2013,0.059,0.059,0.059,0.059,0,
12/03/2013,0.082,0.082,0.082,0.082,100,
13/03/2013,0.082,0.082,0.082,0.082,0,
14/03/2013,0.082,0.082,0.082,0.082,0,
15/03/2013,0.082,0.082,0.082,0.082,0,
18/03/2013,0.082,0.082,0.082,0.082,0,
19/03/2013,0.082,0.082,0.082,0.082,0,
20/03/2013,0.082,0.082,0.082,0.082,0,
21/03/2013,0.082,0.082,0.082,0.082,0,
22/03/2013,0.082,0.082,0.082,0.082,0,
25/03/2013,0.082,0.082,0.082,0.082,0,
26/03/2013,0.082,0.082,0.082,0.082,0,
27/03/2013,0.082,0.082,0.082,0.082,0,
28/03/2013,0.082,0.082,0.082,0.082,0,
29/03/2013,0.082,0.082,0.082,0.082,0,
01/04/2013,0.082,0.082,0.082,0.082,0,
02/04/2013,0.082,0.082,0.082,0.082,0,
03/04/2013,0.082,0.082,0.082,0.082,0,
04/04/2013,0.082,0.082,0.082,0.082,0,
05/04/2013,0.082,0.082,0.082,0.082,0,
08/04/2013,0.082,0.082,0.082,0.082,0,
09/04/2013,0.082,0.082,0.082,0.082,0,
10/04/2013,0.082,0.082,0.082,0.082,0,
11/04/2013,0.082,0.082,0.082,0.082,0,
12/04/2013,0.082,0.082,0.082,0.082,0,
15/04/2013,0.082,0.082,0.082,0.082,0,
16/04/2013,0.082,0.082,0.082,0.082,0,
17/04/2013,0.082,0.082,0.082,0.082,0,
18/04/2013,0.082,0.082,0.082,0.082,0,
22/04/2013,0.082,0.082,0.082,0.082,0,
23/04/2013,0.082,0.082,0.082,0.082,0,
24/04/2013,0.082,0.082,0.082,0.082,0,
25/04/2013,0.082,0.082,0.082,0.082,0,
26/04/2013,0.082,0.082,0.082,0.082,0,
02/05/2013,0.082,0.082,0.082,0.082,0,
03/05/2013,0.082,0.082,0.082,0.082,0,
06/05/2013,0.082,0.082,0.082,0.082,0,
07/05/2013,0.082,0.082,0.082,0.082,0,
08/05/2013,0.082,0.082,0.082,0.082,0,
09/05/2013,0.082,0.082,0.082,0.082,0,
10/05/2013,0.082,0.082,0.082,0.082,0,
13/05/2013,0.082,0.082,0.082,0.082,0,
14/05/2013,0.082,0.082,0.082,0.082,0,
15/05/2013,0.082,0.082,0.082,0.082,0,
16/05/2013,0.082,0.082,0.082,0.082,0,
17/05/2013,0.082,0.082,0.082,0.082,0,
20/05/2013,0.082,0.082,0.082,0.082,0,
21/05/2013,0.082,0.082,0.082,0.082,0,
22/05/2013,0.082,0.082,0.082,0.082,0,DIVIDEND
23/05/2013,0.082,0.082,0.082,0.082,0,
24/05/2013,0.082,0.082,0.082,0.082,0,
27/05/2013,0.082,0.082,0.082,0.082,0,
28/05/2013,0.082,0.082,0.082,0.082,0,
29/05/2013,0.082,0.082,0.082,0.082,0,
30/05/2013,0.082,0.082,0.082,0.082,0,
31/05/2013,0.082,0.082,0.082,0.082,0,
03/06/2013,0.082,0.082,0.082,0.082,0,
04/06/2013,0.082,0.082,0.082,0.082,0,
05/06/2013,0.082,0.082,0.082,0.082,0,
06/06/2013,0.082,0.082,0.082,0.082,0,
07/06/2013,0.082,0.082,0.082,0.082,0,
10/06/2013,0.082,0.082,0.082,0.082,0,
11/06/2013,0.082,0.082,0.082,0.082,0,
12/06/2013,0.082,0.082,0.082,0.082,0,
13/06/2013,0.082,0.082,0.082,0.082,0,
14/06/2013,0.082,0.082,0.082,0.082,0,
17/06/2013,0.082,0.082,0.082,0.082,0,
18/06/2013,0.082,0.082,0.082,0.082,0,
19/06/2013,0.082,0.082,0.082,0.082,0,
20/06/2013,0.082,0.082,0.082,0.082,0,
21/06/2013,0.082,0.082,0.082,0.082,0,
24/06/2013,0.082,0.082,0.082,0.082,0,
25/06/2013,0.082,0.082,0.082,0.082,0,
26/06/2013,0.082,0.082,0.082,0.082,0,
27/06/2013,0.082,0.082,0.082,0.082,0,
28/06/2013,0.082,0.082,0.082,0.082,0,
01/07/2013,0.082,0.082,0.082,0.082,0,
02/07/2013,0.082,0.082,0.082,0.082,0,
03/07/2013,0.082,0.082,0.082,0.082,0,
04/07/2013,0.082,0.082,0.082,0.082,0,
05/07/2013,0.082,0.082,0.082,0.082,0,
08/07/2013,0.082,0.082,0.082,0.082,0,
09/07/2013,0.082,0.082,0.082,0.082,0,
10/07/2013,0.082,0.082,0.082,0.082,0,
11/07/2013,0.082,0.082,0.082,0.082,0,
12/07/2013,0.082,0.082,0.082,0.082,0,
15/07/2013,0.082,0.082,0.082,0.082,0,
16/07/2013,0.082,0.082,0.082,0.082,0,
17/07/2013,0.082,0.082,0.082,0.082,0,
18/07/2013,0.082,0.082,0.082,0.082,0,
19/07/2013,0.082,0.082,0.082,0.082,0,
22/07/2013,0.082,0.082,0.082,0.082,0,
23/07/2013,0.082,0.082,0.082,0.082,0,
24/07/2013,0.082,0.082,0.082,0.082,0,
25/07/2013,0.082,0.082,0.082,0.082,0,
26/07/2013,0.082,0.082,0.082,0.082,0,
29/07/2013,0.082,0.082,0.082,0.082,0,
30/07/2013,0.082,0.082,0.082,0.082,0,
31/07/2013,0.082,0.082,0.082,0.082,0,
01/08/2013,0.082,0.082,0.082,0.082,0,
02/08/2013,0.082,0.082,0.082,0.082,0,
05/08/2013,0.082,0.082,0.082,0.082,0,
06/08/2013,0.115,0.115,0.115,0.115,0,
07/08/2013,0.115,0.115,0.115,0.115,0,
08/08/2013,0.115,0.115,0.115,0.115,0,
09/08/2013,0.115,0.115,0.115,0.115,0,
12/08/2013,0.115,0.115,0.115,0.115,0,
13/08/2013,0.115,0.115,0.115,0.115,0,
14/08/2013,0.115,0.115,0.115,0.115,0,
15/08/2013,0.115,0.115,0.115,0.115,0,
16/08/2013,0.115,0.115,0.115,0.115,0,
19/08/2013,0.115,0.115,0.115,0.115,0,
20/08/2013,0.115,0.115,0.115,0.115,0,
21/08/2013,0.115,0.115,0.115,0.115,0,
22/08/2013,0.115,0.115,0.115,0.115,0,
23/08/2013,0.115,0.115,0.115,0.115,0,
26/08/2013,0.115,0.115,0.115,0.115,0,
27/08/2013,0.115,0.115,0.115,0.115,0,
28/08/2013,0.115,0.115,0.115,0.115,0,
29/08/2013,0.115,0.115,0.115,0.115,0,
30/08/2013,0.115,0.115,0.115,0.115,0,
03/09/2013,0.115,0.115,0.115,0.115,0,
04/09/2013,0.115,0.115,0.115,0.115,0,
05/09/2013,0.115,0.115,0.115,0.115,0,
06/09/2013,0.115,0.115,0.115,0.115,0,
09/09/2013,0.115,0.115,0.115,0.115,0,
10/09/2013,0.115,0.115,0.115,0.115,0,
11/09/2013,0.115,0.115,0.115,0.115,0,
12/09/2013,0.115,0.115,0.115,0.115,0,
13/09/2013,0.115,0.115,0.115,0.115,0,
16/09/2013,0.115,0.115,0.115,0.115,0,
17/09/2013,0.115,0.115,0.115,0.115,0,
18/09/2013,0.115,0.115,0.115,0.115,0,
19/09/2013,0.115,0.115,0.115,0.115,0,
20/09/2013,0.115,0.115,0.115,0.115,0,
23/09/2013,0.115,0.115,0.115,0.115,0,
24/09/2013,0.115,0.115,0.115,0.115,0,
25/09/2013,0.115,0.115,0.115,0.115,0,DIVIDEND
26/09/2013,0.115,0.115,0.115,0.115,0,
27/09/2013,0.115,0.115,0.115,0.115,0,
30/09/2013,0.115,0.115,0.115,0.115,0,
01/10/2013,0.115,0.115,0.115,0.115,0,
02/10/2013,0.115,0.115,0.115,0.115,0,
03/10/2013,0.115,0.115,0.115,0.115,0,
04/10/2013,0.115,0.115,0.115,0.115,0,
07/10/2013,0.115,0.115,0.115,0.115,0,
08/10/2013,0.115,0.115,0.115,0.115,0,
09/10/2013,0.115,0.115,0.115,0.115,0,
10/10/2013,0.115,0.115,0.115,0.115,0,
11/10/2013,0.115,0.115,0.115,0.115,0,
14/10/2013,0.115,0.115,0.115,0.115,0,
15/10/2013,0.115,0.115,0.115,0.115,0,
16/10/2013,0.115,0.115,0.115,0.115,0,
17/10/2013,0.115,0.115,0.115,0.115,0,
18/10/2013,0.115,0.115,0.115,0.115,0,
21/10/2013,0.115,0.115,0.115,0.115,0,
22/10/2013,0.115,0.115,0.115,0.115,0,
23/10/2013,0.115,0.115,0.115,0.115,0,
24/10/2013,0.115,0.115,0.115,0.115,0,
25/10/2013,0.115,0.115,0.115,0.115,0,
28/10/2013,0.115,0.115,0.115,0.115,0,
29/10/2013,0.115,0.115,0.115,0.115,0,
30/10/2013,0.115,0.115,0.115,0.115,0,
31/10/2013,0.115,0.115,0.115,0.115,0,
01/11/2013,0.115,0.115,0.115,0.115,0,
04/11/2013,0.115,0.115,0.115,0.115,0,
05/11/2013,0.115,0.115,0.115,0.115,0,
06/11/2013,0.115,0.115,0.115,0.115,0,
07/11/2013,0.115,0.115,0.115,0.115,0,
08/11/2013,0.115,0.115,0.115,0.115,0,
11/11/2013,0.115,0.115,0.115,0.115,0,
12/11/2013,0.115,0.115,0.115,0.115,0,
13/11/2013,0.115,0.115,0.115,0.115,0,
14/11/2013,0.115,0.115,0.115,0.115,0,
15/11/2013,0.115,0.115,0.115,0.115,0,
18/11/2013,0.115,0.115,0.115,0.115,0,
19/11/2013,0.115,0.115,0.115,0.115,0,
20/11/2013,0.115,0.115,0.115,0.115,0,
21/11/2013,0.115,0.115,0.115,0.115,0,
22/11/2013,0.115,0.115,0.115,0.115,0,
25/11/2013,0.115,0.115,0.115,0.115,0,
26/11/2013,0.115,0.115,0.115,0.115,0,
27/11/2013,0.115,0.115,0.115,0.115,0,
28/11/2013,0.115,0.115,0.115,0.115,0,
29/11/2013,0.115,0.115,0.115,0.115,0,
02/12/2013,0.115,0.115,0.115,0.115,0,
03/12/2013,0.151,0.151,0.151,0.151,0,
04/12/2013,0.151,0.151,0.151,0.151,0,
05/12/2013,0.151,0.151,0.151,0.151,0,
06/12/2013,0.151,0.151,0.151,0.151,0,
09/12/2013,0.151,0.151,0.151,0.151,0,
10/12/2013,0.151,0.151,0.151,0.151,0,
11/12/2013,0.151,0.151,0.151,0.151,0,
12/12/2013,0.151,0.151,0.151,0.151,0,
13/12/2013,0.151,0.151,0.151,0.151,0,
16/12/2013,0.151,0.151,0.151,0.151,0,
17/12/2013,0.151,0.151,0.151,0.151,0,
18/12/2013,0.151,0.151,0.151,0.151,0,
19/12/2013,0.151,0.151,0.151,0.151,0,
20/12/2013,0.151,0.151,0.151,0.151,0,
23/12/2013,0.097,0.097,0.097,0.097,0,
24/12/2013,0.178,0.178,0.178,0.178,0,DIVIDEND
25/12/2013,0.178,0.178,0.178,0.178,0,
26/12/2013,0.178,0.178,0.178,0.178,0,
27/12/2013,0.178,0.178,0.178,0.178,0,
30/12/2013,0.178,0.178,0.178,0.178,0,
31/12/2013,0.178,0.178,0.178,0.178,0,
02/01/2014,0.178,0.178,0.178,0.178,0,
03/01/2014,0.178,0.178,0.178,0.178,0,
06/01/2014,0.157,0.157,0.157,0.157,100,
07/01/2014,0.158,0.158,0.158,0.158,0,
08/01/2014,0.157,0.157,0.157,0.157,0,
09/01/2014,0.157,0.157,0.157,0.157,0,
10/01/2014,0.157,0.157,0.157,0.157,0,
13/01/2014,0.157,0.157,0.157,0.157,0,
14/01/2014,0.157,0.157,0.157,0.157,0,
15/01/2014,0.157,0.157,0.157,0.157,0,
16/01/2014,0.157,0.157,0.157,0.157,0,
17/01/2014,0.157,0.157,0.157,0.157,0,
20/01/2014,0.157,0.157,0.157,0.157,0,
21/01/2014,0.157,0.157,0.157,0.157,0,
22/01/2014,0.157,0.157,0.157,0.157,0,
23/01/2014,0.157,0.157,0.157,0.157,0,
24/01/2014,0.157,0.157,0.157,0.157,0,
27/01/2014,0.157,0.157,0.157,0.157,0,
06/02/2014,0.157,0.157,0.157,0.157,0,
07/02/2014,0.157,0.157,0.157,0.157,0,
10/02/2014,0.157,0.157,0.157,0.157,0,
11/02/2014,0.157,0.157,0.157,0.157,0,
12/02/2014,0.157,0.157,0.157,0.157,0,
13/02/2014,0.157,0.157,0.157,0.157,0,
14/02/2014,0.157,0.157,0.157,0.157,0,
17/02/2014,0.157,0.157,0.157,0.157,0,
18/02/2014,0.157,0.157,0.157,0.157,0,
19/02/2014,0.157,0.157,0.157,0.157,0,
20/02/2014,0.157,0.157,0.157,0.157,0,
21/02/2014,0.157,0.157,0.157,0.157,0,
24/02/2014,0.157,0.157,0.157,0.157,0,
25/02/2014,0.157,0.157,0.157,0.157,0,
26/02/2014,0.157,0.157,0.157,0.157,0,
27/02/2014,0.157,0.157,0.157,0.157,0,
28/02/2014,0.157,0.157,0.157,0.157,0,
03/03/2014,0.157,0.157,0.157,0.157,0,
04/03/2014,0.157,0.157,0.157,0.157,0,
05/03/2014,0.157,0.157,0.157,0.157,0,
06/03/2014,0.157,0.157,0.157,0.157,0,
07/03/2014,0.157,0.157,0.157,0.157,0,
10/03/2014,0.157,0.157,0.157,0.157,0,
11/03/2014,0.157,0.157,0.157,0.157,0,
12/03/2014,0.157,0.157,0.157,0.157,0,
13/03/2014,0.157,0.157,0.157,0.157,0,
14/03/2014,0.157,0.157,0.157,0.157,0,
17/03/2014,0.157,0.157,0.157,0.157,0,
18/03/2014,0.157,0.157,0.157,0.157,0,
19/03/2014,0.157,0.157,0.157,0.157,0,
20/03/2014,0.157,0.157,0.157,0.157,0,
21/03/2014,0.157,0.157,0.157,0.157,0,
24/03/2014,0.157,0.157,0.157,0.157,0,
25/03/2014,0.157,0.157,0.157,0.157,0,
26/03/2014,0.157,0.157,0.157,0.157,0,
27/03/2014,0.157,0.157,0.157,0.157,0,
28/03/2014,0.157,0.157,0.157,0.157,0,
31/03/2014,0.157,0.157,0.157,0.157,0,
01/04/2014,0.157,0.157,0.157,0.157,0,
02/04/2014,0.157,0.157,0.157,0.157,0,
03/04/2014,0.157,0.157,0.157,0.157,0,
04/04/2014,0.157,0.157,0.157,0.157,0,
07/04/2014,0.157,0.157,0.157,0.157,0,
08/04/2014,0.157,0.157,0.157,0.157,0,
10/04/2014,0.157,0.157,0.157,0.157,0,
11/04/2014,0.157,0.157,0.157,0.157,0,
14/04/2014,0.157,0.157,0.157,0.157,0,
15/04/2014,0.157,0.157,0.157,0.157,0,
16/04/2014,0.157,0.157,0.157,0.157,0,
17/04/2014,0.157,0.157,0.157,0.157,0,
18/04/2014,0.157,0.157,0.157,0.157,0,
21/04/2014,0.157,0.157,0.157,0.157,0,
22/04/2014,0.157,0.157,0.157,0.157,0,
23/04/2014,0.157,0.157,0.157,0.157,0,
24/04/2014,0.157,0.157,0.157,0.157,0,
25/04/2014,0.157,0.157,0.157,0.157,0,
28/04/2014,0.157,0.157,0.157,0.157,0,
